x,y,z
2.423739814758300781e+01,1.595276355743408203e+00,1.370338439941406250e+00
2.438585281372070312e+01,1.604660391807556152e+00,1.370338439941406250e+00
2.453430747985839844e+01,1.614044308662414551e+00,1.370338439941406250e+00
2.468276214599609375e+01,1.623428344726562500e+00,1.370338439941406250e+00
2.483121871948242188e+01,1.632812261581420898e+00,1.370338439941406250e+00
2.497967529296875000e+01,1.642196297645568848e+00,1.370338439941406250e+00
2.512812805175781250e+01,1.651580214500427246e+00,1.370338439941406250e+00
2.527658462524414062e+01,1.660964250564575195e+00,1.370338439941406250e+00
2.542503929138183594e+01,1.670348286628723145e+00,1.370338439941406250e+00
2.557349395751953125e+01,1.679732203483581543e+00,1.370338439941406250e+00
2.572194862365722656e+01,1.689116239547729492e+00,1.370338439941406250e+00
2.587040519714355469e+01,1.698500156402587891e+00,1.370338439941406250e+00
2.601885986328125000e+01,1.707884192466735840e+00,1.370338439941406250e+00
2.616731452941894531e+01,1.717268109321594238e+00,1.370338439941406250e+00
2.631577110290527344e+01,1.726652145385742188e+00,1.370338439941406250e+00
2.646422576904296875e+01,1.736036062240600586e+00,1.370338439941406250e+00
2.661268234252929688e+01,1.745420098304748535e+00,1.370338439941406250e+00
2.676113510131835938e+01,1.754804015159606934e+00,1.370338439941406250e+00
2.690959167480468750e+01,1.764188051223754883e+00,1.370338439941406250e+00
2.705804634094238281e+01,1.773571968078613281e+00,1.370338439941406250e+00
2.720650291442871094e+01,1.782956004142761230e+00,1.370338439941406250e+00
2.735495758056640625e+01,1.792339920997619629e+00,1.370338439941406250e+00
2.750341224670410156e+01,1.801723957061767578e+00,1.370338439941406250e+00
2.765186882019042969e+01,1.811107873916625977e+00,1.370338439941406250e+00
2.780032348632812500e+01,1.820491909980773926e+00,1.370338439941406250e+00
2.794877815246582031e+01,1.829875826835632324e+00,1.370338439941406250e+00
2.809723281860351562e+01,1.839259862899780273e+00,1.370338439941406250e+00
2.824568939208984375e+01,1.848643779754638672e+00,1.370338439941406250e+00
2.839414405822753906e+01,1.858027815818786621e+00,1.370338439941406250e+00
2.854259872436523438e+01,1.867411732673645020e+00,1.370338439941406250e+00
2.869105529785156250e+01,1.876795768737792969e+00,1.370338439941406250e+00
2.883950996398925781e+01,1.886179685592651367e+00,1.370338439941406250e+00
2.898796653747558594e+01,1.895563721656799316e+00,1.370338439941406250e+00
2.913641929626464844e+01,1.904947638511657715e+00,1.370338439941406250e+00
2.928487586975097656e+01,1.914331674575805664e+00,1.370338439941406250e+00
2.943333053588867188e+01,1.923715591430664062e+00,1.370338439941406250e+00
2.958178710937500000e+01,1.933099627494812012e+00,1.370338439941406250e+00
